Country,Flag,Flag_Image_URL,Capital,Population_2024,Area_km2,Official_Language,Region,Type,Fact
Afghanistan,🇦🇫,,Kabul,41128771,652230,Pashto,Asia,Country,"Its flag has been redesigned more than any other country's — over 20 versions since 1900."
Albania,🇦🇱,,Tirana,2761785,28748,Albanian,Europe,Country,"Albania was the world's first officially atheist state in 1967; the double-headed eagle on its flag is a medieval symbol dating back to Byzantine times."
Algeria,🇩🇿,,Algiers,45606480,2381741,Arabic,Africa,Country,"Africa's largest country by area; the red crescent on its flag was added to emphasize Islamic identity upon independence from France in 1962."
Andorra,🇦🇩,,Andorra la Vella,79034,468,Catalan,Europe,Country,"A co-principality governed jointly by the French president and the Spanish Bishop of Urgell; it has no airport and no standing army."
Angola,🇦🇴,,Luanda,35588987,1246700,Portuguese,Africa,Country,"The machete and gear on its flag reflect Marxist-Leninist influences at independence in 1975; it has the second-largest Portuguese-speaking population in the world after Brazil."
Antigua and Barbuda,🇦🇬,,Saint John's,93219,442,English,Americas,Country,"Its rising-sun flag symbolizes the dawn of independence; the islands reportedly have 365 beaches — one for every day of the year."
Argentina,🇦🇷,,Buenos Aires,45773884,2780400,Spanish,Americas,Country,"The 'Sun of May' on its flag commemorates the 1810 revolution against Spain; Argentina is the largest Spanish-speaking country in the world by area."
Armenia,🇦🇲,,Yerevan,2777970,29743,Armenian,Asia,Country,"Armenia was the first country to adopt Christianity as its state religion in 301 AD; the red stripe on its flag represents the Armenian Highland and the struggle for survival."
Australia,🇦🇺,,Canberra,26439111,7692024,English,Oceania,Country,"The Southern Cross on its flag is visible only from the Southern Hemisphere; Australia is the only country that occupies an entire continent."
Austria,🇦🇹,,Vienna,8958960,83879,German,Europe,Country,"Legend says its red-white-red flag was inspired by Duke Leopold V's blood-soaked tunic after the Battle of Acre in 1191 — one of history's oldest flag origin stories."
Azerbaijan,🇦🇿,,Baku,10353296,86600,Azerbaijani,Asia,Country,"Called the 'Land of Fire' due to naturally occurring flame seeps; its first oil well predates Pennsylvania's famous 1859 well by over a decade."
Bahamas,🇧🇸,,Nassau,409984,13943,English,Americas,Country,"Comprises over 700 islands with only about 30 inhabited; the blue on its flag represents the sea that defines Bahamian life."
Bahrain,🇧🇭,,Manama,1748296,765,Arabic,Asia,Country,"The only island nation in the Middle East; the five white serrations on its flag represent the five pillars of Islam."
Bangladesh,🇧🇩,,Dhaka,171186372,147570,Bengali,Asia,Country,"Home to the world's largest river delta — the Sundarbans; the red disc on its flag represents the sun rising over the green landscape."
Barbados,🇧🇧,,Bridgetown,281635,430,English,Americas,Country,"Became a republic in 2021 removing the British monarch as head of state; the trident on its flag was deliberately broken from a colonial 'Britannia' design to symbolize independence."
Basque Country,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Flag_of_the_Basque_Country.svg,Vitoria-Gasteiz,2200000,7234,Basque,Europe,Autonomous Community,"The Basque language (Euskara) is a language isolate — completely unrelated to any other known language in the world."
Belarus,🇧🇾,,Minsk,9498238,207600,Belarusian,Europe,Country,"One of the last countries in Europe with a KGB secret police; its red-and-green flag was restored from the Soviet era after a 1995 referendum."
Belgium,🇧🇪,,Brussels,11697557,30528,Dutch,Europe,Country,"Its flag colors come from the medieval Duchy of Brabant's coat of arms; Belgium holds the world record for the longest period without a government — 541 days in 2010–2011."
Belize,🇧🇿,,Belmopan,405272,22966,English,Americas,Country,"The only country in Central America with an English-speaking majority; its flag is the only national flag in the world that depicts humans."
Benin,🇧🇯,,Porto-Novo,13352864,112622,French,Africa,Country,"The former Kingdom of Dahomey here was one of West Africa's most powerful pre-colonial states and a major hub of the transatlantic slave trade."
Bhutan,🇧🇹,,Thimphu,787424,38394,Dzongkha,Asia,Country,"One of the few carbon-negative countries in the world; the Druk (Thunder Dragon) on its flag gives the country its local name 'Druk Yul' — Land of the Thunder Dragon."
Bolivia,🇧🇴,,Sucre,12224110,1098581,Spanish,Americas,Country,"The only landlocked country in South America with a naval force; it lost its Pacific coast to Chile in 1884 and maintains a navy to this day as a statement of intent."
Bosnia and Herzegovina,🇧🇦,,Sarajevo,3210847,51197,Bosnian,Europe,Country,"Its blue-and-gold flag evokes European colors; Sarajevo was the site of the 1914 assassination of Archduke Franz Ferdinand which triggered World War I."
Botswana,🇧🇼,,Gaborone,2675352,581730,English,Africa,Country,"One of Africa's greatest conservation success stories with 38% of its land protected; the black and white stripes on its flag symbolize racial harmony and the zebra."
Bougainville,,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_the_Autonomous_Region_of_Bougainville.svg,Buka,350000,9318,English,Oceania,Autonomous Region,"In 2019 a referendum saw 98% of Bougainvilleans vote for independence from Papua New Guinea — one of the most decisive independence mandates in history."
Brazil,🇧🇷,,Brasília,216422446,8514877,Portuguese,Americas,Country,"The stars on its flag depict the night sky over Rio de Janeiro on November 15 1889 (the date of the republic's proclamation); it is the world's largest Portuguese-speaking country."
Brittany,,https://upload.wikimedia.org/wikipedia/commons/6/61/Flag_of_Brittany.svg,Rennes,3400000,27208,French,Europe,Cultural Region,"The Breton Gwenn-ha-du flag features an ermine pattern from the medieval Duchy of Brittany; Breton is a Celtic language closely related to Welsh and Cornish."
Brunei,🇧🇳,,Bandar Seri Begawan,449002,5765,Malay,Asia,Country,"One of the world's wealthiest nations per capita due to oil wealth; the crest on its flag contains an umbrella symbolizing the sultan's supreme authority."
Bulgaria,🇧🇬,,Sofia,6885868,110879,Bulgarian,Europe,Country,"The Cyrillic alphabet was developed by disciples of Saints Cyril and Methodius in Bulgaria in the 9th century; Bulgaria has never changed its name since its founding."
Burkina Faso,🇧🇫,,Ouagadougou,22673762,274200,French,Africa,Country,"Its name means 'Land of Upright People'; the red star on its flag represents the 1983 revolution and the guiding principles of the nation."
Burundi,🇧🇮,,Gitega,12889576,27830,Kirundi,Africa,Country,"Its flag features three stars representing the three main ethnic groups — Hutu, Tutsi, and Twa; it is one of the world's most densely populated countries."
Cabo Verde,🇨🇻,,Praia,598682,4033,Portuguese,Africa,Country,"An archipelago with no indigenous population before Portuguese colonists arrived in 1456; it is known for remarkable political stability in an often turbulent region."
Cambodia,🇰🇭,,Phnom Penh,16944826,181035,Khmer,Asia,Country,"The only country whose flag features a building — Angkor Wat, the world's largest religious monument."
Cameroon,🇨🇲,,Yaoundé,28647293,475442,French,Africa,Country,"Called 'Africa in miniature' for its stunning geographic and cultural diversity; its name comes from 'Rio dos Camarões' (River of Prawns) named by Portuguese explorers."
Canada,🇨🇦,,Ottawa,39742430,9984670,English,Americas,Country,"The world's second-largest country by area; the maple leaf on its flag was chosen in 1965 after one of history's most heated national flag debates."
Catalonia,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Catalonia.svg,Barcelona,7900000,32108,Catalan,Europe,Autonomous Community,"Catalonia has its own language, parliament, and police force; Barcelona's economy alone rivals that of many mid-sized European countries."
Central African Republic,🇨🇫,,Bangui,5579144,622984,French,Africa,Country,"A vertical red stripe uniquely unites the four horizontal stripes on its flag representing blood, tolerance, forests, and savanna."
Chad,🇹🇩,,N'Djamena,18278568,1284000,French,Africa,Country,"Chad's flag is virtually identical to Romania's — both are vertical blue-yellow-red tricolors — differing only in a slight shade of blue."
Chile,🇨🇱,,Santiago,19629590,756096,Spanish,Americas,Country,"The world's longest and narrowest country at 4,270 km long but averaging only 177 km wide; its flag is often said to have inspired the Texas state flag."
China,🇨🇳,,Beijing,1425887337,9596961,Mandarin,Asia,Country,"The large yellow star on its flag represents the Communist Party; China has the world's oldest continuous civilization spanning over 4,000 years."
Colombia,🇨🇴,,Bogotá,52085168,1141748,Spanish,Americas,Country,"Named after Christopher Columbus; it is the only South American country with both a Pacific and Caribbean coastline."
Comoros,🇰🇲,,Moroni,852075,2235,Arabic,Africa,Country,"Its flag has four stars and stripes for its four islands — three of which form Comoros while the fourth (Mayotte) remains a French territory."
Congo,🇨🇬,,Brazzaville,6106869,342000,French,Africa,Country,"The Republic of Congo and the Democratic Republic of Congo are the only two countries in the world to share the same name and face each other across a river."
Cornwall,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Cornwall.svg,Truro,570000,3563,English,Europe,Unitary Authority,"St. Piran's Cross — white on black — is said to represent silver tin ore emerging from black rock; Cornwall was once the world's leading center of tin and copper mining."
Costa Rica,🇨🇷,,San José,5212173,51100,Spanish,Americas,Country,"Abolished its standing army in 1948; it generates nearly 100% of its electricity from renewable sources and dedicates 25% of its land to national parks."
Croatia,🇭🇷,,Zagreb,3855600,56594,Croatian,Europe,Country,"Croats are credited with inventing the necktie; the red-and-white checkerboard coat of arms on its flag is one of Europe's oldest heraldic designs."
Cuba,🇨🇺,,Havana,11194449,109884,Spanish,Americas,Country,"The lone star on its flag represents independence; Cuba has more doctors per capita than almost any other country in the world."
Cyprus,🇨🇾,,Nicosia,1260138,9251,Greek,Europe,Country,"The only country whose flag features a map of the country itself — shown in copper-orange with olive branches representing peace."
Czech Republic,🇨🇿,,Prague,10827529,78867,Czech,Europe,Country,"Prague is one of the few major European capitals that survived World War II largely intact; the Czech Republic produces more beer per capita than any country on Earth."
Democratic Republic of the Congo,🇨🇩,,Kinshasa,102262808,2344858,French,Africa,Country,"Africa's second-largest country by area and home to the Congo River Basin — the world's second-largest tropical rainforest."
Denmark,🇩🇰,,Copenhagen,5910913,43094,Danish,Europe,Country,"The Danish Dannebrog is the world's oldest national flag still in continuous use — legend places its first sighting at the Battle of Lyndanisse in 1219."
Djibouti,🇩🇯,,Djibouti,1136455,23200,French,Africa,Country,"One of the hottest countries on Earth; it simultaneously hosts military bases from the US, France, China, and Japan — more foreign military presences than almost anywhere."
Dominica,🇩🇲,,Roseau,72737,751,English,Americas,Country,"The only national flag in the world to feature the color purple — in the feathers of the endangered Sisserou parrot; the island has no sandy beaches."
Dominican Republic,🇩🇴,,Santo Domingo,11332972,48671,Spanish,Americas,Country,"The only national flag to feature a Bible; it shares the island of Hispaniola with Haiti and is home to the Caribbean's highest mountain peak."
East Timor,🇹🇱,,Dili,1360596,14874,Portuguese,Asia,Country,"One of the world's youngest countries (independent 2002); the black triangle on its flag represents colonialism to overcome while yellow symbolizes prosperity."
Ecuador,🇪🇨,,Quito,18190484,283561,Spanish,Americas,Country,"Named after the equator which runs through it; Ecuador is one of 17 'megadiverse' countries and home to the Galápagos Islands."
Egypt,🇪🇬,,Cairo,112716598,1001449,Arabic,Africa,Country,"Home to one of the world's oldest civilizations; the Eagle of Saladin on its flag commemorates the famous 12th-century Muslim military leader."
El Salvador,🇸🇻,,San Salvador,6364943,21041,Spanish,Americas,Country,"The smallest and most densely populated country in Central America; its flag is the only Central American one to include the phrase 'Dios Unión Libertad' (God Union Liberty)."
Equatorial Guinea,🇬🇶,,Malabo,1714671,28051,Spanish,Africa,Country,"The only Spanish-speaking country in Africa; the green triangle on its flag represents the country's tropical forests and natural wealth."
Eritrea,🇪🇷,,Asmara,3748901,117600,Tigrinya,Africa,Country,"The olive wreath on its flag has exactly 30 leaves — one for each year of the independence war against Ethiopia that ended in 1991."
Estonia,🇪🇪,,Tallinn,1395973,45227,Estonian,Europe,Country,"The first country in the world to use internet voting in national elections in 2005; its blue-black-white flag symbolizes sky, soil, and the aspiration for a bright future."
Eswatini,🇸🇿,,Mbabane,1210822,17364,English,Africa,Country,"One of the world's last absolute monarchies; the shield and spears on its flag represent the protection and warrior heritage of the Swazi people."
Ethiopia,🇪🇹,,Addis Ababa,126527060,1104300,Amharic,Africa,Country,"The only African country never colonized by a European power; Ethiopia's green-yellow-red tricolor directly inspired the flags of dozens of other African nations."
Fiji,🇫🇯,,Suva,936375,18272,English,Oceania,Country,"One of only a few flags to use light blue as the field color; Fiji comprises over 330 islands of which about 110 are inhabited."
Finland,🇫🇮,,Helsinki,5545475,338424,Finnish,Europe,Country,"Finland has over 188,000 lakes — more than almost any country on Earth; Santa Claus is officially based in Rovaniemi in Finnish Lapland."
France,🇫🇷,,Paris,68521974,551695,French,Europe,Country,"The most visited country in the world; the French tricolor adopted during the Revolution became the template for dozens of national flags worldwide."
Gabon,🇬🇦,,Libreville,2436566,267668,French,Africa,Country,"Over 80% of Gabon is covered by tropical forest; the blue stripe on its flag represents the Atlantic Ocean which forms its entire western border."
Gambia,🇬🇲,,Banjul,2705992,11295,English,Africa,Country,"The smallest country on mainland Africa; the Gambia River bisects it entirely giving the country its distinctive narrow elongated shape."
Georgia,🇬🇪,,Tbilisi,3744385,69700,Georgian,Asia,Country,"One of the world's oldest wine-producing cultures with 8,000-year-old traditions; its Five Cross Flag is one of the few national flags to feature four additional crosses."
Germany,🇩🇪,,Berlin,84552242,357022,German,Europe,Country,"The black-red-gold flag dates to the 1848 democratic revolution; Germany has the world's fourth-largest economy and is home to over 1,500 breweries."
Ghana,🇬🇭,,Accra,34121985,238533,English,Africa,Country,"The first sub-Saharan African country to gain independence (1957); the black star on its flag is the Pan-African symbol of liberation used by Marcus Garvey."
Greece,🇬🇷,,Athens,10413982,131957,Greek,Europe,Country,"The birthplace of democracy, the Olympics, and Western philosophy; the nine blue-and-white stripes on its flag represent the syllables of the Greek for 'Freedom or Death.'"
Grenada,🇬🇩,,Saint George's,125438,344,English,Americas,Country,"Known as the 'Spice Isle' for its nutmeg production; its flag is the only national flag in the world to depict a spice — a nutmeg in the left stripe."
Guatemala,🇬🇹,,Guatemala City,18092026,108889,Spanish,Americas,Country,"Home to one of the ancient Maya civilization's greatest cities; its flag is the only one to feature a quetzal bird — the most colorful bird in Central America."
Guinea,🇬🇳,,Conakry,14190612,245857,French,Africa,Country,"Contains the source of three major West African rivers; its red-yellow-green Pan-African colors are intentionally the reverse of the French tricolor."
Guinea-Bissau,🇬🇼,,Bissau,2150842,36125,Portuguese,Africa,Country,"One of the world's ten poorest countries; the black star and red stripe on its flag were directly inspired by the flag of Ghana."
Guyana,🇬🇾,,Georgetown,813834,214969,English,Americas,Country,"The only English-speaking country in South America; the 'Golden Arrowhead' design on its flag symbolizes mineral wealth and a forward-moving people."
Haiti,🇭🇹,,Port-au-Prince,11724763,27750,French,Americas,Country,"The only country formed through a successful slave revolt; the blue and red on its flag come from the French tricolor with the white — representing colonizers — stripped out."
Hong Kong,🇭🇰,,Hong Kong,7500000,1108,Cantonese,Asia,Special Administrative Region,"The white bauhinia flower on its flag is Hong Kong's city emblem; it has more skyscrapers than any other city in the world."
Honduras,🇭🇳,,Tegucigalpa,10593798,112492,Spanish,Americas,Country,"Named by Columbus from the Spanish for 'depths' referring to deep coastal waters; the five stars on its flag represent the original five states of Central America."
Hungary,🇭🇺,,Budapest,9676135,93028,Hungarian,Europe,Country,"Hungarian (Magyar) is one of Europe's few non-Indo-European languages; its red-white-green tricolor was adopted during the revolution of 1848 against Habsburg rule."
Iceland,🇮🇸,,Reykjavík,375318,103000,Icelandic,Europe,Country,"Home to the world's oldest parliament (the Althing, founded in 930 AD); Iceland has never fought in a war in modern history."
India,🇮🇳,,New Delhi,1428627663,3287263,Hindi,Asia,Country,"The world's most populous democracy; the blue Ashoka Chakra on its flag has 24 spokes representing the 24 hours of the day — symbolizing constant progress."
Indonesia,🇮🇩,,Jakarta,277534122,1904569,Indonesian,Asia,Country,"The world's largest archipelago nation with over 17,000 islands; its simple red-and-white flag is one of the oldest national flag designs in Southeast Asia."
Iran,🇮🇷,,Tehran,89172767,1648195,Persian,Asia,Country,"Formerly known as Persia; the phrase 'Allahu Akbar' is written 22 times on its flag to mark the 22nd of Bahman — the exact date of the 1979 revolution."
Iraq,🇮🇶,,Baghdad,46042015,438317,Arabic,Asia,Country,"Home to ancient Mesopotamia — one of the world's first civilizations; Baghdad was the largest city in the world during the 8th and 9th centuries."
Ireland,🇮🇪,,Dublin,5255017,70273,Irish,Europe,Country,"The only country to have a musical instrument — the harp — as its national symbol; its green-white-orange tricolor was inspired by the French Revolution flag."
Isle of Man,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_the_Isle_of_Man.svg,Douglas,85000,572,English,Europe,Crown Dependency,"The triskelion on its flag — three armored legs — is one of the world's most unusual flag symbols; its parliament (Tynwald) is the world's oldest continuous parliament founded in 979 AD."
Italy,🇮🇹,,Rome,58870762,301340,Italian,Europe,Country,"Home to more UNESCO World Heritage Sites than any other country; Italy's tricolor directly inspired the flags of Mexico, Hungary, and many other nations."
Ivory Coast,🇨🇮,,Yamoussoukro,28873034,322463,French,Africa,Country,"Shares almost identical flag colors with Ireland but in reverse order; it is the world's largest producer of cocoa supplying about 40% of the global crop."
Jamaica,🇯🇲,,Kingston,2825544,10991,English,Americas,Country,"The only national flag in the world that contains neither red, white, nor blue; the gold, black, and green represent the sun, hardships, and the lush land."
Japan,🇯🇵,,Tokyo,123294513,377930,Japanese,Asia,Country,"The Hinomaru (Circle of the Sun) has been used as a flag since at least the 13th century; Japan is home to the world's oldest known company — Kongo Gumi (construction, founded 578 AD)."
Jordan,🇯🇴,,Amman,11337052,89342,Arabic,Asia,Country,"The seven-pointed star on its flag represents the seven verses of the Quran's opening chapter and the seven hills of Amman; it hosts more Syrian refugees per capita than any other country."
Kazakhstan,🇰🇿,,Nur-Sultan,20592571,2724900,Kazakh,Asia,Country,"The world's largest landlocked country; the golden sun and steppe eagle on its blue flag represent freedom and the vast open steppes."
Kenya,🇰🇪,,Nairobi,55100586,580367,English,Africa,Country,"Straddles the equator; the Maasai shield and crossed spears on its flag represent defense of freedom and reflect Kenya's warrior traditions."
Kiribati,🇰🇮,,Tarawa,133515,811,English,Oceania,Country,"The only country in the world with land in all four hemispheres; the rising sun on its flag depicts the equator on which much of the nation sits."
Kurdistan,,https://upload.wikimedia.org/wikipedia/commons/3/35/Flag_of_Kurdistan.svg,Erbil,30000000,400000,Kurdish,Asia,Stateless Nation,"The Kurds are the world's largest ethnic group without their own nation-state; the 21-point sun on the Kurdish flag is an ancient Zoroastrian symbol of light and life."
Kuwait,🇰🇼,,Kuwait City,4310108,17818,Arabic,Asia,Country,"One of the world's wealthiest countries per capita; it was the first Gulf state to adopt a written constitution and parliament in 1962."
Kyrgyzstan,🇰🇬,,Bishkek,7100000,199951,Kyrgyz,Asia,Country,"The yellow symbol on its flag is a top-down view of the crown of a traditional yurt; the name 'Kyrgyzstan' roughly translates to 'Land of Forty Tribes.'"
Laos,🇱🇦,,Vientiane,7633779,236800,Lao,Asia,Country,"The only landlocked country in Southeast Asia; the white disc on its flag represents the full moon reflected in the Mekong River."
Latvia,🇱🇻,,Riga,1830211,64559,Latvian,Europe,Country,"Latvia's dark-red-white-dark-red flag is one of the world's oldest — a design from around 1280 AD may make it older than Denmark's famous Dannebrog."
Lebanon,🇱🇧,,Beirut,5489739,10452,Arabic,Asia,Country,"The cedar tree on its flag has been a symbol of Lebanon for 5,000 years and is mentioned in the Bible over 70 times."
Lesotho,🇱🇸,,Maseru,2330318,30355,English,Africa,Country,"The only country in the world where the entire territory lies above 1,000 meters in elevation; the Basotho hat on its flag is a traditional conical woven straw hat."
Liberia,🇱🇷,,Monrovia,5302681,111369,English,Africa,Country,"Founded by freed American slaves in 1847; its flag closely mirrors the US flag with 11 stripes representing the signatories of its Declaration of Independence."
Libya,🇱🇾,,Tripoli,6888388,1759540,Arabic,Africa,Country,"Was the world's only national flag with just a single solid color — all green — from 1977 to 2011 under Muammar Gaddafi."
Liechtenstein,🇱🇮,,Vaduz,39584,160,German,Europe,Country,"At the 1936 Olympics Liechtenstein and Haiti discovered their flags were identical; Liechtenstein added a golden crown the very next day."
Lithuania,🇱🇹,,Vilnius,2718352,65300,Lithuanian,Europe,Country,"Called the 'Amber Capital of the World'; its yellow-green-red flag represents wheat, forests, and the blood of those who died for freedom."
Luxembourg,🇱🇺,,Luxembourg,654768,2586,Luxembourgish,Europe,Country,"Maintains its own unique language (Luxembourgish) despite bordering France, Belgium, and Germany; the Grand Duke receives the largest official salary of any European monarch."
Macau,🇲🇴,,Macau,680000,33,Cantonese,Asia,Special Administrative Region,"The world's most densely populated territory; Macau generates more casino revenue than Las Vegas and its flag features the lotus flower and the historic Guia Lighthouse."
Madagascar,🇲🇬,,Antananarivo,30325732,587041,Malagasy,Africa,Country,"A biodiversity hotspot where over 90% of its wildlife exists nowhere else on Earth; the red and white on its flag represent the historic Merina kingdom."
